COB,Property-ID,Site-ID,Status1-(Completed/Under Construction),Status2-(Mobilising/Stabilised),Postcode,Plot Number,Size Sqft,Number of Bedrooms,Total Number of Bathrooms,Number of Receptions,Property Type (Apartment/House),Property Style,Garage,Car Park Space,Year of Build,Handover Date,EPC Rating,Solar Panels,Developer,Region,Status3-(Freehold/Leasehold),Furnished,EV Charger,Gas,Target Handover Date,Date,Name,Managing Agent,Head of Region,Status,COB Date,Gas Certificate Expiry,EPC Ratings,EICR Expiry,PAT Expiry,Occupancy Status,Current ERV,Achieved Rent PCM,Vacant date,EPC Expiry Date,COB Date_tenancy,Tenancy Start Date,Achieved Rent,Rent change,Next rent review date,Rent review,Rent Renewal increase,Previous Achieved Rent
2025-01-31,1,1,Completed,Mobilising,CV10,54.0,1016.0,3.0,2.0,1.0,House,"3 St. Town House, Semi-Detached ",Yes,1.0,2024.0,2024-04-26,B,No,Developer A,West Midlands,Freehold,No,No,Yes,1900-01-01,2025-01-31,Prime Properties,Agent 3,Sam,Stabilised,2025-01-31,2025-07-05,1900-01-01,2029-04-04,1900-01-01,Occupied,1125.0,1050.0,2024-04-26,2034-04-11,2025-01-31,2024-07-31,1050.0,No,2027-07-31,1050.0,0.0,0.0
2025-01-31,2,1,Completed,Mobilising,CV10,55.0,1016.0,3.0,2.0,1.0,House,"3 St. Town House, Semi-Detached ",Yes,1.0,2024.0,2024-04-26,B,No,Developer A,West Midlands,Freehold,No,No,Yes,1900-01-01,2025-01-31,Prime Properties,Agent 3,Sam,Stabilised,2025-01-31,2025-07-05,1900-01-01,1900-01-01,1900-01-01,Occupied,1125.0,1050.0,2024-04-26,2034-04-11,2025-01-31,2024-07-20,1050.0,No,2027-07-20,1050.0,0.0,0.0
2025-01-31,3,1,Completed,Mobilising,CV10,56.0,1016.0,3.0,2.0,1.0,House,"3 St. Town House, Semi-Detached ",Yes,1.0,2024.0,2024-04-26,B,No,Developer A,West Midlands,Freehold,No,No,Yes,1900-01-01,2025-01-31,Prime Properties,Agent 3,Sam,Stabilised,2025-01-31,2025-07-05,1900-01-01,2029-04-04,1900-01-01,Occupied,1125.0,1200.0,2024-04-26,2034-04-11,2025-01-31,2024-05-23,1200.0,No,2027-05-23,1050.0,0.0,0.0
2025-01-31,4,1,Completed,Mobilising,CV10,57.0,1016.0,3.0,2.0,1.0,House,"3 St. Town House, End of Terrace ",No,2.0,2024.0,2024-04-26,B,No,Developer A,West Midlands,Freehold,No,No,Yes,1900-01-01,2025-01-31,Prime Properties,Agent 3,Sam,Stabilised,2025-01-31,2025-07-05,1900-01-01,1900-01-01,1900-01-01,Occupied,1125.0,1050.0,2024-04-26,2034-04-09,2025-01-31,2024-07-31,1050.0,No,2027-07-31,1050.0,0.0,0.0
2025-01-31,5,1,Completed,Mobilising,CV10,58.0,1016.0,3.0,2.0,1.0,House,"3 St. Town House, End of Terrace ",No,2.0,2024.0,2024-04-26,B,No,Developer A,West Midlands,Freehold,No,No,Yes,1900-01-01,2025-01-31,Prime Properties,Agent 3,Sam,Stabilised,2025-01-31,2025-07-05,1900-01-01,1900-01-01,1900-01-01,Occupied,1125.0,1050.0,2024-04-26,2034-04-09,2025-01-31,2024-08-17,1050.0,No,2027-08-17,1050.0,0.0,0.0
2025-01-31,6,1,Completed,Mobilising,CV10,59.0,1016.0,3.0,2.0,1.0,House,"3 St. Town House, End of Terrace ",No,2.0,2024.0,2024-04-26,B,No,Developer A,West Midlands,Freehold,No,No,Yes,1900-01-01,2025-01-31,Prime Properties,Agent 3,Sam,Stabilised,2025-01-31,2025-07-05,1900-01-01,1900-01-01,1900-01-01,Occupied,1125.0,1050.0,2024-04-26,2034-04-08,2025-01-31,2024-08-05,1050.0,No,2027-08-05,1050.0,0.0,0.0
2025-01-31,7,1,Completed,Mobilising,CV10,60.0,1016.0,3.0,2.0,1.0,House,"3 St. Town House, End of Terrace ",No,2.0,2024.0,2024-04-26,B,No,Developer A,West Midlands,Freehold,No,No,Yes,1900-01-01,2025-01-31,Prime Properties,Agent 3,Sam,Stabilised,2025-01-31,2025-07-05,1900-01-01,1900-01-01,1900-01-01,Occupied,1125.0,1200.0,2024-04-26,2034-04-08,2025-01-31,2024-06-25,1200.0,No,2027-06-25,1050.0,0.0,0.0
2025-01-31,8,1,Completed,Mobilising,CV10,61.0,1016.0,3.0,2.0,1.0,House,"3 St. Town House, End of Terrace ",No,2.0,2024.0,2024-04-26,B,No,Developer A,West Midlands,Freehold,No,No,Yes,1900-01-01,2025-01-31,Prime Properties,Agent 3,Sam,Stabilised,2025-01-31,2025-07-05,1900-01-01,2029-01-03,1900-01-01,Occupied,1125.0,1050.0,2024-04-26,2034-03-26,2025-01-31,2024-07-19,1050.0,No,2027-07-19,1050.0,0.0,0.0
2025-01-31,9,1,Completed,Mobilising,CV10,62.0,1016.0,3.0,2.0,1.0,House,"3 St. Town House, End of Terrace ",No,2.0,2024.0,2024-04-26,B,No,Developer A,West Midlands,Freehold,No,No,Yes,1900-01-01,2025-01-31,Prime Properties,Agent 3,Sam,Stabilised,2025-01-31,2025-07-05,1900-01-01,1900-01-01,1900-01-01,Occupied,1125.0,1050.0,2024-04-26,2034-03-26,2025-01-31,2024-07-13,1050.0,No,2027-07-13,1050.0,0.0,0.0
2025-01-31,10,1,Completed,Mobilising,CV10,63.0,1155.0,3.0,2.0,2.0,House,"3 St. Town House, Semi-Detached ",No,2.0,2024.0,2024-03-28,B,No,Developer A,West Midlands,Freehold,No,No,Yes,1900-01-01,2025-01-31,Prime Properties,Agent 3,Sam,Stabilised,2025-01-31,1900-01-01,1900-01-01,2029-09-02,1900-01-01,Occupied,1150.0,1250.0,2024-03-28,2034-03-06,2025-01-31,2024-05-31,1250.0,No,2027-05-31,1050.0,0.0,0.0
2025-01-31,11,1,Completed,Mobilising,CV10,64.0,1155.0,3.0,2.0,2.0,House,"3 St. Town House, Semi-Detached",No,2.0,2024.0,2024-03-28,B,No,Developer A,West Midlands,Freehold,No,No,Yes,1900-01-01,2025-01-31,Prime Properties,Agent 3,Sam,Stabilised,2025-01-31,2025-09-04,1900-01-01,2029-09-02,1900-01-01,Occupied,1150.0,1250.0,2024-03-28,2034-03-06,2025-01-31,2024-05-08,1250.0,No,2027-05-08,1050.0,0.0,0.0
2025-01-31,12,1,Completed,Mobilising,CV10,65.0,1155.0,3.0,2.0,2.0,House,"3 St. Town House, Semi-Detached",No,2.0,2024.0,2024-03-28,B,No,Developer A,West Midlands,Freehold,No,No,Yes,1900-01-01,2025-01-31,Prime Properties,Agent 3,Sam,Stabilised,2025-01-31,2025-09-04,1900-01-01,2029-03-02,1900-01-01,Occupied,1150.0,1250.0,2024-03-28,2034-03-05,2025-01-31,2024-05-03,1250.0,No,2027-05-03,1050.0,0.0,0.0
2025-01-31,13,1,Completed,Mobilising,CV10,66.0,1155.0,3.0,2.0,2.0,House,"3 St. Town House, Semi-Detached ",No,2.0,2024.0,2024-03-28,B,No,Developer A,West Midlands,Freehold,No,No,Yes,1900-01-01,2025-01-31,Prime Properties,Agent 3,Sam,Stabilised,2025-01-31,2025-09-04,1900-01-01,2029-03-02,1900-01-01,Occupied,1150.0,1200.0,2024-03-28,2034-03-05,2025-01-31,2024-08-31,1200.0,No,2027-08-31,1050.0,0.0,0.0
2025-01-31,14,1,Completed,Mobilising,CV10,67.0,1155.0,3.0,2.0,2.0,House,"3 St. Town House,  Semi-Detached ",No,2.0,2024.0,2024-03-28,B,No,Developer A,West Midlands,Freehold,No,No,Yes,1900-01-01,2025-01-31,Prime Properties,Agent 3,Sam,Stabilised,2025-01-31,2025-09-04,1900-01-01,2029-03-02,1900-01-01,Occupied,1150.0,1250.0,2024-03-28,2034-02-25,2025-01-31,2024-05-15,1250.0,No,2027-05-15,1050.0,0.0,0.0
2025-01-31,15,1,Completed,Mobilising,CV10,68.0,1155.0,3.0,2.0,2.0,House,"3 St. Town House, Semi-Detached ",No,2.0,2024.0,2024-03-28,B,No,Developer A,West Midlands,Freehold,No,No,Yes,1900-01-01,2025-01-31,Prime Properties,Agent 3,Sam,Stabilised,2025-01-31,2025-09-04,1900-01-01,2029-03-02,1900-01-01,Occupied,1150.0,1200.0,2024-03-28,2034-02-25,2025-01-31,2024-08-15,1200.0,No,2027-08-15,1050.0,0.0,0.0
2025-01-31,16,1,Completed,Mobilising,CV10,69.0,1155.0,3.0,2.0,2.0,House,"3 St. Town House,  Semi-Detached ",No,2.0,2024.0,2024-03-28,B,No,Developer A,West Midlands,Freehold,No,No,Yes,1900-01-01,2025-01-31,Prime Properties,Agent 3,Sam,Stabilised,2025-01-31,2025-09-04,1900-01-01,2029-03-02,1900-01-01,Occupied,1150.0,1250.0,2024-03-28,2034-02-25,2025-01-31,2024-05-15,1250.0,No,2027-05-15,1050.0,0.0,0.0
